"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.962127686E-1,8.231353760E-1,1.095195007E1
2.319336000E-3,-9.809875488E-2,8.494567871E-1,1.198565674E1
4.669189000E-3,-3.828430176E-2,8.374938965E-1,1.258624268E1
6.988525000E-3,-4.791259766E-3,8.087768555E-1,1.291645813E1
9.338378000E-3,-9.567260742E-3,7.513427734E-1,1.305284119E1
1.165771400E-2,2.395629883E-3,7.178497314E-1,1.304566956E1
1.400756800E-2,-7.171630859E-3,7.058868408E-1,1.290449524E1
1.632690400E-2,-6.939697266E-2,6.915283203E-1,1.268196106E1
1.867675700E-2,-1.531372070E-1,6.676025391E-1,1.237568665E1
2.102661100E-2,-2.679901123E-1,6.652069092E-1,1.205982971E1
2.334594700E-2,-4.139556885E-1,6.723785400E-1,1.171047974E1
2.569580000E-2,-5.670928955E-1,7.034912109E-1,1.133958435E1
2.801513600E-2,-7.298126221E-1,7.633056641E-1,1.096630859E1
3.036499000E-2,-8.853454590E-1,8.207397461E-1,1.058824158E1
3.268432600E-2,-1.012161255E0,8.638153076E-1,1.025085449E1
3.503417900E-2,-1.136596680E0,9.068756104E-1,9.927825928E0
3.738403300E-2,-1.217941284E0,9.571228027E-1,9.719650269E0
3.970336900E-2,-1.263412476E0,1.000198364E0,9.477966309E0
4.205322200E-2,-1.284942627E0,1.033706665E0,9.305694580E0
4.437255800E-2,-1.304092407E0,1.031311035E0,9.202789307E0
4.672241200E-2,-1.294509888E0,1.028915405E0,9.142974854E0
4.904174800E-2,-1.253845215E0,1.012161255E0,9.126220703E0
5.139160100E-2,-1.198806763E0,9.834442139E-1,9.116653442E0
5.371093700E-2,-1.124633789E0,9.308013916E-1,9.145370483E0
5.606079100E-2,-1.067199707E0,8.805541992E-1,9.176467896E0
5.841064400E-2,-9.954071045E-1,8.087768555E-1,9.214767456E0
6.072998000E-2,-9.475555420E-1,7.537384033E-1,9.243469238E0
6.307983400E-2,-9.068756104E-1,6.915283203E-1,9.250656128E0
6.539917000E-2,-8.733825684E-1,6.197357178E-1,9.260223389E0
6.774902300E-2,-8.446655273E-1,5.670928955E-1,9.279373169E0
7.006835900E-2,-8.398742676E-1,5.240325928E-1,9.284149170E0
7.241821200E-2,-8.422698975E-1,5.192413330E-1,9.262619019E0
7.476806600E-2,-8.590240479E-1,5.120697021E-1,9.265014648E0
7.708740200E-2,-8.614196777E-1,5.431671143E-1,9.241088867E0
