"Time (s)","Pressure (hPa)"
1.245117100E-2,1.005955444E3
5.090332000E-2,1.005955444E3
8.938598600E-2,1.005955444E3
1.278076170E-1,1.005955444E3
1.662902830E-1,1.005965820E3
2.047119140E-1,1.005965820E3
2.433166500E-1,1.005965820E3
2.816162110E-1,1.005965820E3
3.200683590E-1,1.005981323E3
3.584899900E-1,1.005981323E3
3.969726560E-1,1.005981323E3
4.353942870E-1,1.005981323E3
4.738769530E-1,1.005989990E3
5.123291010E-1,1.005986145E3
5.507812500E-1,1.005986145E3
5.892639160E-1,1.005986145E3
6.276855460E-1,1.005986145E3
6.661987300E-1,1.006000000E3
7.045898430E-1,1.006000000E3
7.432556150E-1,1.006000000E3
7.814941400E-1,1.006000000E3
8.199462890E-1,1.006011353E3
8.584289550E-1,1.006011353E3
8.968505860E-1,1.006011353E3
9.352722160E-1,1.006011353E3
9.738159180E-1,1.006013123E3
1.012207031E0,1.006013123E3
1.050659179E0,1.006013123E3
1.089080810E0,1.006013123E3
1.127593994E0,1.006013123E3
1.166168212E0,1.006014160E3
1.204437255E0,1.006014160E3
1.242919921E0,1.006014160E3
1.281341552E0,1.006014160E3
1.319824218E0,1.006017639E3
1.358276367E0,1.006017639E3
1.396728515E0,1.006017639E3
1.435180664E0,1.006017639E3
1.473602295E0,1.006015869E3
1.512054443E0,1.006015869E3
1.550506591E0,1.006015869E3
1.589019775E0,1.006015869E3
1.627441406E0,1.006015869E3
1.666107177E0,1.006015869E3
1.704345703E0,1.006015869E3
1.742797851E0,1.006015869E3
1.781250000E0,1.006015869E3
1.819702148E0,1.006005188E3
1.858123779E0,1.006005188E3
1.896606445E0,1.006005188E3
1.935028076E0,1.006005188E3
1.973480224E0,1.005997620E3
2.011993408E0,1.005997620E3
2.050445556E0,1.005997620E3
2.089019775E0,1.005997620E3
2.127319336E0,1.005997620E3
2.165771484E0,1.006005920E3
2.204223632E0,1.006005920E3
2.242675781E0,1.006005920E3
2.281158447E0,1.006005920E3
2.319580078E0,1.006011475E3
2.358032226E0,1.006011475E3
2.396484375E0,1.006011475E3
2.434936523E0,1.006011475E3
2.473388671E0,1.006016296E3
2.511840820E0,1.006016296E3
2.550262451E0,1.006016296E3
2.588958740E0,1.006016296E3
2.627166748E0,1.006016296E3
2.665649414E0,1.006021484E3
2.704101562E0,1.006021484E3
2.742523193E0,1.006021484E3
2.781005859E0,1.006021484E3
2.819427490E0,1.006023193E3
2.857940673E0,1.006023193E3
2.896362304E0,1.006023193E3
2.934814453E0,1.006023193E3
2.973236084E0,1.006020752E3
3.011871337E0,1.006020752E3
3.050170898E0,1.006020752E3
3.088623046E0,1.006020752E3
3.127075195E0,1.006020752E3
3.165527343E0,1.006022522E3
3.203979492E0,1.006022522E3
3.242431640E0,1.006022522E3
3.280853271E0,1.006022522E3
3.319335937E0,1.006020752E3
3.357788086E0,1.006020752E3
3.396240234E0,1.006020752E3
3.434783935E0,1.006020752E3
3.473114013E0,1.006029419E3
3.511871337E0,1.006029419E3
3.550048828E0,1.006029419E3
3.588500976E0,1.006029419E3
3.626953125E0,1.006029419E3
3.665405273E0,1.006038086E3
3.703887939E0,1.006038086E3
3.742279052E0,1.006038086E3
3.780731201E0,1.006038086E3
3.819213867E0,1.006044983E3
3.857666015E0,1.006044983E3
3.896148681E0,1.006044983E3
3.934722900E0,1.006044983E3
3.973022461E0,1.006053589E3
4.011505127E0,1.006053589E3
4.049926757E0,1.006053589E3
4.088378906E0,1.006053589E3
4.126831054E0,1.006053589E3
4.165252685E0,1.006063232E3
4.203704834E0,1.006063232E3
4.242156982E0,1.006063232E3
4.280670166E0,1.006063232E3
4.319061279E0,1.006070801E3
4.357666015E0,1.006070801E3
4.395996093E0,1.006070801E3
4.434753418E0,1.006070801E3
4.472900390E0,1.006085632E3
4.511383056E0,1.006085632E3
4.549804687E0,1.006085632E3
4.588256836E0,1.006085632E3
4.626708984E0,1.006085632E3
4.665161132E0,1.006093201E3
4.703613281E0,1.006093201E3
4.742065429E0,1.006093201E3
4.780517578E0,1.006093201E3
4.818969726E0,1.006093567E3
4.857666015E0,1.006093567E3
4.895843505E0,1.006093567E3
4.934295654E0,1.006093567E3
4.972747802E0,1.006106628E3
5.011230468E0,1.006106628E3
5.049682617E0,1.006106628E3
5.088134765E0,1.006106628E3
5.126586914E0,1.006106628E3
5.165069580E0,1.006111816E3
5.203460693E0,1.006111816E3
5.241943359E0,1.006111816E3
5.280548095E0,1.006111816E3
5.318847656E0,1.006123169E3
5.357269287E0,1.006123169E3
5.395751953E0,1.006123169E3
5.434265136E0,1.006123169E3
5.472625732E0,1.006132812E3
5.511108398E0,1.006132812E3
5.549560546E0,1.006132812E3
5.588012695E0,1.006132812E3
5.626495361E0,1.006132812E3
5.664886474E0,1.006136292E3
5.703430175E0,1.006136292E3
5.741851806E0,1.006136292E3
5.780548095E0,1.006136292E3
5.818716995E0,1.006149048E3
5.857138625E0,1.006149048E3
5.895621291E0,1.006149048E3
5.934073440E0,1.006149048E3
5.972525588E0,1.006154907E3
6.011008254E0,1.006154907E3
6.049429885E0,1.006154907E3
6.087882034E0,1.006154907E3
6.126334182E0,1.006154907E3
6.164786330E0,1.006164551E3
6.203421584E0,1.006164551E3
6.241721145E0,1.006164551E3
6.280173293E0,1.006164551E3
6.318594924E0,1.006164856E3
6.357016555E0,1.006164856E3
6.395499221E0,1.006164856E3
6.433951370E0,1.006164856E3
6.472403518E0,1.006169006E3
6.510825149E0,1.006169006E3
6.549307815E0,1.006169006E3
6.587790481E0,1.006169006E3
6.626303664E0,1.006169006E3
6.664664260E0,1.006172791E3
6.703391067E0,1.006172791E3
6.741568557E0,1.006172791E3
6.779990188E0,1.006172791E3
6.818472854E0,1.006176270E3
6.856955520E0,1.006176270E3
6.895377151E0,1.006176270E3
6.933798782E0,1.006176270E3
6.972281448E0,1.006173462E3
7.010733596E0,1.006173462E3
7.049185745E0,1.006173462E3
7.087607375E0,1.006173462E3
7.126273147E0,1.006173462E3
7.164542190E0,1.006175171E3
7.202963821E0,1.006175171E3
7.241446487E0,1.006175171E3
7.279898635E0,1.006175171E3
7.318350784E0,1.006183105E3
7.356802932E0,1.006183105E3
7.395224563E0,1.006183105E3
7.433737746E0,1.006183105E3
7.472159377E0,1.006193787E3
7.510611526E0,1.006193787E3
7.549277297E0,1.006193787E3
7.587546340E0,1.006193787E3
7.625967971E0,1.006193787E3
7.664389602E0,1.006188599E3
7.702872268E0,1.006188599E3
7.741354934E0,1.006188599E3
7.779776565E0,1.006188599E3
7.818198196E0,1.006193787E3
7.856650344E0,1.006193787E3
7.895133010E0,1.006193787E3
7.933615676E0,1.006193787E3
7.972189895E0,1.006197266E3
8.010519973E0,1.006197266E3
8.048941604E0,1.006197266E3
8.087363235E0,1.006197266E3
8.125815383E0,1.006197266E3
8.164298049E0,1.006209961E3
8.202750198E0,1.006209961E3
8.241202346E0,1.006209961E3
8.279654495E0,1.006209961E3
8.318106643E0,1.006218628E3
8.356528274E0,1.006218628E3
8.395133010E0,1.006218628E3
8.433432571E0,1.006218628E3
8.472220412E0,1.006222107E3
8.510367385E0,1.006222107E3
8.548789016E0,1.006222107E3
8.587271682E0,1.006222107E3
8.625693313E0,1.006222107E3
8.664145461E0,1.006219727E3
8.702628127E0,1.006219727E3
8.741080276E0,1.006219727E3
8.779501907E0,1.006219727E3
8.817984573E0,1.006220337E3
8.856497756E0,1.006220337E3
8.895133010E0,1.006220337E3
8.933371536E0,1.006220337E3
8.971762649E0,1.006227295E3
9.010245315E0,1.006227295E3
9.048727981E0,1.006227295E3
9.087149612E0,1.006227295E3
9.125601760E0,1.006237610E3
9.164053909E0,1.006237610E3
9.202506057E0,1.006237610E3
9.240958205E0,1.006237610E3
9.279410354E0,1.006237610E3
9.318015090E0,1.006252075E3
9.356314651E0,1.006252075E3
9.394736282E0,1.006252075E3
9.433218948E0,1.006252075E3
9.471640579E0,1.006265930E3
9.510123245E0,1.006265930E3
9.548575393E0,1.006265930E3
9.587027541E0,1.006265930E3
9.625479690E0,1.006276245E3
9.663931838E0,1.006276245E3
9.702353469E0,1.006276245E3
9.740958205E0,1.006276245E3
9.779288284E0,1.006276245E3
9.817740432E0,1.006283203E3
9.856223098E0,1.006283203E3
9.894644729E0,1.006283203E3
9.933066360E0,1.006283203E3
9.971518508E0,1.006290100E3
1.001003169E1,1.006290100E3
1.004845332E1,1.006290100E3
