"Time (s)","Pressure (hPa)"
0.000000000E0,1.006822815E3
3.845214900E-2,1.006822815E3
7.690429700E-2,1.006821411E3
1.153869630E-1,1.006821411E3
1.538085940E-1,1.006821411E3
1.922607420E-1,1.006821411E3
2.307128910E-1,1.006821411E3
2.691650390E-1,1.006828979E3
3.076171880E-1,1.006828979E3
3.460693360E-1,1.006828979E3
3.845520020E-1,1.006828979E3
4.229736330E-1,1.006827576E3
4.614257820E-1,1.006827576E3
4.998779300E-1,1.006827576E3
5.386352540E-1,1.006827576E3
5.767822270E-1,1.006829285E3
6.152648930E-1,1.006829285E3
6.537170410E-1,1.006829285E3
6.921386720E-1,1.006829285E3
7.305908210E-1,1.006829285E3
7.690429690E-1,1.006829224E3
8.074951170E-1,1.006829224E3
8.459472660E-1,1.006829224E3
8.843994140E-1,1.006829224E3
9.228515630E-1,1.006829956E3
9.613342290E-1,1.006829956E3
9.997558600E-1,1.006829956E3
1.038208008E0,1.006829956E3
1.076660157E0,1.006828857E3
1.115112305E0,1.006828857E3
1.153564453E0,1.006828857E3
1.192047119E0,1.006828857E3
1.230499268E0,1.006828857E3
1.268920899E0,1.006826111E3
1.307373047E0,1.006826111E3
1.345825196E0,1.006826111E3
1.384277344E0,1.006826111E3
1.422729492E0,1.006830200E3
1.461181641E0,1.006830200E3
1.499633789E0,1.006830200E3
1.538116455E0,1.006830200E3
1.576538086E0,1.006831604E3
1.614990235E0,1.006831604E3
1.653442383E0,1.006831604E3
1.691894532E0,1.006831604E3
1.730407715E0,1.006831604E3
1.768768311E0,1.006826721E3
1.807281494E0,1.006826721E3
1.845916748E0,1.006826721E3
1.884155274E0,1.006826721E3
1.922607422E0,1.006821899E3
1.961059571E0,1.006821899E3
1.999511719E0,1.006821899E3
2.037963867E0,1.006821899E3
2.076416016E0,1.006818787E3
2.114898682E0,1.006818787E3
2.153320313E0,1.006818787E3
2.191772461E0,1.006818787E3
2.230224610E0,1.006818787E3
2.268676758E0,1.006821167E3
2.307128907E0,1.006821167E3
2.345581055E0,1.006821167E3
2.384063721E0,1.006821167E3
2.422485352E0,1.006821167E3
2.460937500E0,1.006821167E3
2.499908448E0,1.006821167E3
2.537841797E0,1.006821167E3
2.576293946E0,1.006823486E3
2.614746094E0,1.006823486E3
2.653198242E0,1.006823486E3
2.691680908E0,1.006823486E3
2.730102539E0,1.006828674E3
2.768646240E0,1.006828674E3
2.807006836E0,1.006828674E3
2.845458985E0,1.006828674E3
2.883911133E0,1.006828674E3
2.922363282E0,1.006825562E3
2.960845948E0,1.006825562E3
2.999267578E0,1.006825562E3
3.037719727E0,1.006825562E3
3.076171875E0,1.006820679E3
3.114624024E0,1.006820679E3
3.153076172E0,1.006820679E3
3.191528321E0,1.006820679E3
3.230010987E0,1.006826538E3
3.268432617E0,1.006826538E3
3.306884766E0,1.006826538E3
3.345336914E0,1.006826538E3
3.383789063E0,1.006826538E3
3.422241211E0,1.006834778E3
3.460693360E0,1.006834778E3
3.499145508E0,1.006834778E3
3.537628174E0,1.006834778E3
3.576049805E0,1.006838867E3
3.614501953E0,1.006838867E3
3.652954102E0,1.006838867E3
3.691406250E0,1.006838867E3
3.729858399E0,1.006846436E3
3.768310547E0,1.006846436E3
3.806793213E0,1.006846436E3
3.845245362E0,1.006846436E3
3.883636475E0,1.006846436E3
3.922119141E0,1.006850220E3
3.960571289E0,1.006850220E3
3.999023438E0,1.006850220E3
4.037475586E0,1.006850220E3
4.075927735E0,1.006856750E3
4.114410401E0,1.006856750E3
4.152832032E0,1.006856750E3
4.191284180E0,1.006856750E3
4.229736328E0,1.006849182E3
4.268188477E0,1.006849182E3
4.306640625E0,1.006849182E3
4.345092774E0,1.006849182E3
4.383575440E0,1.006849182E3
4.421974798E0,1.006853943E3
4.460426946E0,1.006853943E3
4.499214788E0,1.006853943E3
4.537331243E0,1.006853943E3
4.575783391E0,1.006871155E3
4.614235540E0,1.006871155E3
4.652687688E0,1.006871155E3
4.691170354E0,1.006871155E3
4.729591985E0,1.006876343E3
4.768044134E0,1.006876343E3
4.806496282E0,1.006876343E3
4.844948430E0,1.006876343E3
4.883400579E0,1.006876343E3
4.921852727E0,1.006883179E3
4.960335393E0,1.006883179E3
4.999916692E0,1.006883179E3
5.037209173E0,1.006883179E3
5.075661321E0,1.006891846E3
5.114113469E0,1.006891846E3
5.153114934E0,1.006891846E3
5.191017766E0,1.006891846E3
5.229500432E0,1.006895264E3
5.267922063E0,1.006895264E3
5.306374212E0,1.006895264E3
5.344826360E0,1.006895264E3
5.383278509E0,1.006895264E3
5.421730657E0,1.006904236E3
5.460182805E0,1.006904236E3
5.498634954E0,1.006904236E3
5.537117620E0,1.006904236E3
5.575539251E0,1.006911133E3
5.613991399E0,1.006911133E3
5.652443548E0,1.006911133E3
5.690895696E0,1.006911133E3
5.729347844E0,1.006913879E3
5.767799993E0,1.006913879E3
5.807137151E0,1.006913879E3
5.844734807E0,1.006913879E3
5.883156438E0,1.006913879E3
5.921608587E0,1.006916992E3
5.960060735E0,1.006916992E3
5.998512884E0,1.006916992E3
6.036965032E0,1.006916992E3
6.075417180E0,1.006924255E3
6.113899846E0,1.006924255E3
6.152321477E0,1.006924255E3
6.190773626E0,1.006924255E3
6.229225774E0,1.006928345E3
6.267677923E0,1.006928345E3
6.306130071E0,1.006928345E3
6.344582219E0,1.006928345E3
6.383064885E0,1.006928345E3
6.421486516E0,1.006927734E3
6.459938665E0,1.006927734E3
6.498390813E0,1.006927734E3
6.536812444E0,1.006927734E3
6.575295110E0,1.006933960E3
6.613747259E0,1.006933960E3
6.652199407E0,1.006933960E3
6.690682073E0,1.006933960E3
6.729103704E0,1.006941895E3
6.767555852E0,1.006941895E3
6.806038518E0,1.006941895E3
6.844460149E0,1.006941895E3
6.882912298E0,1.006941895E3
6.921364446E0,1.006943604E3
6.959847112E0,1.006943604E3
6.998268743E0,1.006943604E3
7.036720891E0,1.006943604E3
7.075173040E0,1.006948120E3
7.113625188E0,1.006948120E3
7.152382512E0,1.006948120E3
7.190529485E0,1.006948120E3
7.228981634E0,1.006954712E3
7.267464300E0,1.006954712E3
7.305885930E0,1.006954712E3
7.344338079E0,1.006954712E3
7.382790227E0,1.006954712E3
7.421242376E0,1.006956421E3
7.459694524E0,1.006956421E3
7.498146673E0,1.006956421E3
7.536629339E0,1.006956421E3
7.575050969E0,1.006956421E3
7.613503118E0,1.006956421E3
7.651955266E0,1.006956421E3
